ds,holiday,lower_window,upper_window
2017/04/29 15:00:00,holiday,0,1
2017/04/29 16:00:00,holiday,0,1
2017/04/29 17:00:00,holiday,0,1
2017/04/29 18:00:00,holiday,0,1
2017/04/29 19:00:00,holiday,0,1
2017/04/29 2:00:00,holiday,0,1
2017/04/29 20:00:00,holiday,0,1
2017/04/29 21:00:00,holiday,0,1
2017/04/29 22:00:00,holiday,0,1
2017/04/29 23:00:00,holiday,0,1
2017/04/29 3:00:00,holiday,0,1
2017/04/29 4:00:00,holiday,0,1
2017/04/29 5:00:00,holiday,0,1
2017/04/29 6:00:00,holiday,0,1
2017/04/29 7:00:00,holiday,0,1
2017/04/29 8:00:00,holiday,0,1
2017/04/29 9:00:00,holiday,0,1
2017/05/03 0:00:00,holiday,0,1
2017/05/03 1:00:00,holiday,0,1
2017/05/03 10:00:00,holiday,0,1
2017/05/03 11:00:00,holiday,0,1
2017/05/03 12:00:00,holiday,0,1
2017/05/03 13:00:00,holiday,0,1
2017/05/03 14:00:00,holiday,0,1
2017/05/03 15:00:00,holiday,0,1
2017/05/03 16:00:00,holiday,0,1
2017/05/03 17:00:00,holiday,0,1
2017/05/03 18:00:00,holiday,0,1
2017/05/03 19:00:00,holiday,0,1
2017/05/03 2:00:00,holiday,0,1
2017/05/03 20:00:00,holiday,0,1
2017/05/03 21:00:00,holiday,0,1
2017/05/03 22:00:00,holiday,0,1
2017/05/03 23:00:00,holiday,0,1
2017/05/03 3:00:00,holiday,0,1
2017/05/03 4:00:00,holiday,0,1
2017/05/03 5:00:00,holiday,0,1
2017/05/03 6:00:00,holiday,0,1
2017/05/03 7:00:00,holiday,0,1
2017/05/03 8:00:00,holiday,0,1
2017/05/03 9:00:00,holiday,0,1
2017/05/04 0:00:00,holiday,0,1
2017/05/04 1:00:00,holiday,0,1
2017/05/04 10:00:00,holiday,0,1
2017/05/04 11:00:00,holiday,0,1
2017/05/04 12:00:00,holiday,0,1
2017/05/04 13:00:00,holiday,0,1
2017/05/04 14:00:00,holiday,0,1
2017/05/04 15:00:00,holiday,0,1
2017/05/04 16:00:00,holiday,0,1
2017/05/04 17:00:00,holiday,0,1
2017/05/04 18:00:00,holiday,0,1
2017/05/04 19:00:00,holiday,0,1
2017/05/04 2:00:00,holiday,0,1
2017/05/04 20:00:00,holiday,0,1
2017/05/04 21:00:00,holiday,0,1
2017/05/04 22:00:00,holiday,0,1
2017/05/04 23:00:00,holiday,0,1
2017/05/04 3:00:00,holiday,0,1
2017/05/04 4:00:00,holiday,0,1
2017/05/04 5:00:00,holiday,0,1
2017/05/04 6:00:00,holiday,0,1
2017/05/04 7:00:00,holiday,0,1
2017/05/04 8:00:00,holiday,0,1
2017/05/04 9:00:00,holiday,0,1
2017/05/05 0:00:00,holiday,0,1
2017/05/05 1:00:00,holiday,0,1
2017/05/05 10:00:00,holiday,0,1
2017/05/05 11:00:00,holiday,0,1
2017/05/05 12:00:00,holiday,0,1
2017/05/05 13:00:00,holiday,0,1
2017/05/05 14:00:00,holiday,0,1
2017/05/05 15:00:00,holiday,0,1
2017/05/05 16:00:00,holiday,0,1
2017/05/05 17:00:00,holiday,0,1
2017/05/05 18:00:00,holiday,0,1
2017/05/05 19:00:00,holiday,0,1
2017/05/05 2:00:00,holiday,0,1
2017/05/05 20:00:00,holiday,0,1
2017/05/05 21:00:00,holiday,0,1
2017/05/05 22:00:00,holiday,0,1
2017/05/05 23:00:00,holiday,0,1
2017/05/05 3:00:00,holiday,0,1
2017/05/05 4:00:00,holiday,0,1
2017/05/05 5:00:00,holiday,0,1
2017/05/05 6:00:00,holiday,0,1
2017/05/05 7:00:00,holiday,0,1
2017/05/05 8:00:00,holiday,0,1
2017/05/05 9:00:00,holiday,0,1
2017/07/08 12:00:00,hotday,0,1
2017/07/08 13:00:00,hotday,0,1
2017/07/08 14:00:00,hotday,0,1
2017/07/08 15:00:00,hotday,0,1
2017/07/09 13:00:00,hotday,0,1
2017/07/12 11:00:00,hotday,0,1
2017/07/12 13:00:00,hotday,0,1
2017/07/13 12:00:00,hotday,0,1
2017/07/15 12:00:00,hotday,0,1
2017/07/15 13:00:00,hotday,0,1
2017/07/15 14:00:00,hotday,0,1
2017/07/15 15:00:00,hotday,0,1
2017/07/16 10:00:00,hotday,0,1
2017/07/16 11:00:00,hotday,0,1
2017/07/16 12:00:00,hotday,0,1
2017/07/16 13:00:00,hotday,0,1
2017/07/17 0:00:00,holiday,0,1
2017/07/17 1:00:00,holiday,0,1
2017/07/17 10:00:00,holiday,0,1
2017/07/17 11:00:00,hotday,0,1
2017/07/17 11:00:00,holiday,0,1
2017/07/17 12:00:00,hotday,0,1
2017/07/17 12:00:00,holiday,0,1
2017/07/17 13:00:00,hotday,0,1
2017/07/17 13:00:00,holiday,0,1
2017/07/17 14:00:00,hotday,0,1
2017/07/17 14:00:00,holiday,0,1
2017/07/17 15:00:00,hotday,0,1
2017/07/17 15:00:00,holiday,0,1
2017/07/17 16:00:00,holiday,0,1
2017/07/17 17:00:00,holiday,0,1
2017/07/17 18:00:00,holiday,0,1
2017/07/17 19:00:00,holiday,0,1
2017/07/17 2:00:00,holiday,0,1
2017/07/17 20:00:00,holiday,0,1
2017/07/17 21:00:00,holiday,0,1
2017/07/17 22:00:00,holiday,0,1
2017/07/17 23:00:00,holiday,0,1
2017/07/17 3:00:00,holiday,0,1
2017/07/17 4:00:00,holiday,0,1
2017/07/17 5:00:00,holiday,0,1
2017/07/17 6:00:00,holiday,0,1
2017/07/17 7:00:00,holiday,0,1
2017/07/17 8:00:00,holiday,0,1
2017/07/17 9:00:00,holiday,0,1
2017/07/21 11:00:00,hotday,0,1
2017/07/21 12:00:00,hotday,0,1
2017/07/21 13:00:00,hotday,0,1
2017/07/21 14:00:00,hotday,0,1
2017/07/21 15:00:00,hotday,0,1
2017/07/22 14:00:00,hotday,0,1
2017/07/24 13:00:00,hotday,0,1
2017/07/24 14:00:00,hotday,0,1
2017/07/25 14:00:00,hotday,0,1
2017/07/31 14:00:00,hotday,0,1
2017/07/31 15:00:00,hotday,0,1
2017/07/31 16:00:00,hotday,0,1
2017/08/06 13:00:00,hotday,0,1
2017/08/06 14:00:00,hotday,0,1
2017/08/06 15:00:00,hotday,0,1
2017/08/07 11:00:00,hotday,0,1
2017/08/07 12:00:00,hotday,0,1
2017/08/07 13:00:00,hotday,0,1
2017/08/08 12:00:00,hotday,0,1
2017/08/08 13:00:00,hotday,0,1
2017/08/08 14:00:00,hotday,0,1
2017/08/08 15:00:00,hotday,0,1
2017/08/09 10:00:00,hotday,0,1
2017/08/09 11:00:00,hotday,0,1
2017/08/09 12:00:00,hotday,0,1
2017/08/09 13:00:00,hotday,0,1
2017/08/09 14:00:00,hotday,0,1
2017/08/09 15:00:00,hotday,0,1
2017/08/09 16:00:00,hotday,0,1
2017/08/11 0:00:00,holiday,0,1
2017/08/11 1:00:00,holiday,0,1
2017/08/11 10:00:00,holiday,0,1
2017/08/11 11:00:00,holiday,0,1
2017/08/11 12:00:00,holiday,0,1
2017/08/11 13:00:00,holiday,0,1
2017/08/11 14:00:00,holiday,0,1
2017/08/11 15:00:00,holiday,0,1
2017/08/11 16:00:00,holiday,0,1
2017/08/11 17:00:00,holiday,0,1
2017/08/11 18:00:00,holiday,0,1
2017/08/11 19:00:00,holiday,0,1
2017/08/11 2:00:00,holiday,0,1
2017/08/11 20:00:00,holiday,0,1
2017/08/11 21:00:00,holiday,0,1
2017/08/11 22:00:00,holiday,0,1
2017/08/11 23:00:00,holiday,0,1
2017/08/11 3:00:00,holiday,0,1
2017/08/11 4:00:00,holiday,0,1
2017/08/11 5:00:00,holiday,0,1
2017/08/11 6:00:00,holiday,0,1
2017/08/11 7:00:00,holiday,0,1
2017/08/11 8:00:00,holiday,0,1
2017/08/11 9:00:00,holiday,0,1
2017/08/13 0:00:00,holiday,0,1
2017/08/13 1:00:00,holiday,0,1
2017/08/13 10:00:00,holiday,0,1
2017/08/13 11:00:00,holiday,0,1
2017/08/13 12:00:00,holiday,0,1
2017/08/13 13:00:00,holiday,0,1
2017/08/13 14:00:00,holiday,0,1
2017/08/13 15:00:00,holiday,0,1
2017/08/13 16:00:00,holiday,0,1
2017/08/13 17:00:00,holiday,0,1
2017/08/13 18:00:00,holiday,0,1
2017/08/13 19:00:00,holiday,0,1
2017/08/13 2:00:00,holiday,0,1
2017/08/13 20:00:00,holiday,0,1
2017/08/13 21:00:00,holiday,0,1
2017/08/13 22:00:00,holiday,0,1
2017/08/13 23:00:00,holiday,0,1
2017/08/13 3:00:00,holiday,0,1
2017/08/13 4:00:00,holiday,0,1
2017/08/13 5:00:00,holiday,0,1
2017/08/13 6:00:00,holiday,0,1
2017/08/13 7:00:00,holiday,0,1
2017/08/13 8:00:00,holiday,0,1
2017/08/13 9:00:00,holiday,0,1
2017/08/14 0:00:00,holiday,0,1
2017/08/14 1:00:00,holiday,0,1
2017/08/14 10:00:00,holiday,0,1
2017/08/14 11:00:00,holiday,0,1
2017/08/14 12:00:00,holiday,0,1
2017/08/14 13:00:00,holiday,0,1
2017/08/14 14:00:00,holiday,0,1
2017/08/14 15:00:00,holiday,0,1
2017/08/14 16:00:00,holiday,0,1
2017/08/14 17:00:00,holiday,0,1
2017/08/14 18:00:00,holiday,0,1
2017/08/14 19:00:00,holiday,0,1
2017/08/14 2:00:00,holiday,0,1
2017/08/14 20:00:00,holiday,0,1
2017/08/14 21:00:00,holiday,0,1
2017/08/14 22:00:00,holiday,0,1
2017/08/14 23:00:00,holiday,0,1
2017/08/14 3:00:00,holiday,0,1
2017/08/14 4:00:00,holiday,0,1
2017/08/14 5:00:00,holiday,0,1
2017/08/14 6:00:00,holiday,0,1
2017/08/14 7:00:00,holiday,0,1
2017/08/14 8:00:00,holiday,0,1
2017/08/14 9:00:00,holiday,0,1
2017/08/15 0:00:00,holiday,0,1
2017/08/15 1:00:00,holiday,0,1
2017/08/15 10:00:00,holiday,0,1
2017/08/15 11:00:00,holiday,0,1
2017/08/15 12:00:00,holiday,0,1
2017/08/15 13:00:00,holiday,0,1
2017/08/15 14:00:00,holiday,0,1
2017/08/15 15:00:00,holiday,0,1
2017/08/15 16:00:00,holiday,0,1
2017/08/15 17:00:00,holiday,0,1
2017/08/15 18:00:00,holiday,0,1
2017/08/15 19:00:00,holiday,0,1
2017/08/15 2:00:00,holiday,0,1
2017/08/15 20:00:00,holiday,0,1
2017/08/15 21:00:00,holiday,0,1
2017/08/15 22:00:00,holiday,0,1
2017/08/15 23:00:00,holiday,0,1
2017/08/15 3:00:00,holiday,0,1
2017/08/15 4:00:00,holiday,0,1
2017/08/15 5:00:00,holiday,0,1
2017/08/15 6:00:00,holiday,0,1
2017/08/15 7:00:00,holiday,0,1
2017/08/15 8:00:00,holiday,0,1
2017/08/15 9:00:00,holiday,0,1
2017/08/23 11:00:00,hotday,0,1
2017/08/23 13:00:00,hotday,0,1
2017/08/23 15:00:00,hotday,0,1
2017/08/23 16:00:00,hotday,0,1
2017/08/24 11:00:00,hotday,0,1
2017/08/24 12:00:00,hotday,0,1
2017/08/24 13:00:00,hotday,0,1
2017/08/24 14:00:00,hotday,0,1
2017/08/24 15:00:00,hotday,0,1
2017/08/24 16:00:00,hotday,0,1
2017/08/24 17:00:00,hotday,0,1
2017/08/25 10:00:00,hotday,0,1
2017/08/25 11:00:00,hotday,0,1
2017/08/25 12:00:00,hotday,0,1
2017/08/25 13:00:00,hotday,0,1
2017/08/25 14:00:00,hotday,0,1
2017/08/25 15:00:00,hotday,0,1
2017/08/25 16:00:00,hotday,0,1
2017/08/25 17:00:00,hotday,0,1
2017/08/25 18:00:00,hotday,0,1
2017/08/26 12:00:00,hotday,0,1
2017/08/30 11:00:00,hotday,0,1
2017/09/18 0:00:00,holiday,0,1
2017/09/18 1:00:00,holiday,0,1
2017/09/18 10:00:00,holiday,0,1
2017/09/18 11:00:00,holiday,0,1
2017/09/18 12:00:00,holiday,0,1
2017/09/18 13:00:00,hotday,0,1
2017/09/18 13:00:00,holiday,0,1
2017/09/18 14:00:00,holiday,0,1
2017/09/18 15:00:00,holiday,0,1
2017/09/18 16:00:00,holiday,0,1
2017/09/18 17:00:00,holiday,0,1
2017/09/18 18:00:00,holiday,0,1
2017/09/18 19:00:00,holiday,0,1
2017/09/18 2:00:00,holiday,0,1
2017/09/18 20:00:00,holiday,0,1
2017/09/18 21:00:00,holiday,0,1
2017/09/18 22:00:00,holiday,0,1
2017/09/18 23:00:00,holiday,0,1
2017/09/18 3:00:00,holiday,0,1
2017/09/18 4:00:00,holiday,0,1
2017/09/18 5:00:00,holiday,0,1
2017/09/18 6:00:00,holiday,0,1
2017/09/18 7:00:00,holiday,0,1
2017/09/18 8:00:00,holiday,0,1
2017/09/18 9:00:00,holiday,0,1
2017/09/23 0:00:00,holiday,0,1
2017/09/23 1:00:00,holiday,0,1
2017/09/23 10:00:00,holiday,0,1
2017/09/23 11:00:00,holiday,0,1
2017/09/23 12:00:00,holiday,0,1
2017/09/23 13:00:00,holiday,0,1
2017/09/23 14:00:00,holiday,0,1
2017/09/23 15:00:00,holiday,0,1
2017/09/23 16:00:00,holiday,0,1
2017/09/23 17:00:00,holiday,0,1
2017/09/23 18:00:00,holiday,0,1
2017/09/23 19:00:00,holiday,0,1
2017/09/23 2:00:00,holiday,0,1
2017/09/23 20:00:00,holiday,0,1
2017/09/23 21:00:00,holiday,0,1
2017/09/23 22:00:00,holiday,0,1
2017/09/23 23:00:00,holiday,0,1
2017/09/23 3:00:00,holiday,0,1
2017/09/23 4:00:00,holiday,0,1
2017/09/23 5:00:00,holiday,0,1
2017/09/23 6:00:00,holiday,0,1
2017/09/23 7:00:00,holiday,0,1
2017/09/23 8:00:00,holiday,0,1
2017/09/23 9:00:00,holiday,0,1
2017/10/09 0:00:00,holiday,0,1
2017/10/09 1:00:00,holiday,0,1
2017/10/09 10:00:00,holiday,0,1
2017/10/09 11:00:00,holiday,0,1
2017/10/09 12:00:00,holiday,0,1
2017/10/09 13:00:00,holiday,0,1
2017/10/09 14:00:00,holiday,0,1
2017/10/09 15:00:00,holiday,0,1
2017/10/09 16:00:00,holiday,0,1
2017/10/09 17:00:00,holiday,0,1
2017/10/09 18:00:00,holiday,0,1
2017/10/09 19:00:00,holiday,0,1
2017/10/09 2:00:00,holiday,0,1
2017/10/09 20:00:00,holiday,0,1
2017/10/09 21:00:00,holiday,0,1
2017/10/09 22:00:00,holiday,0,1
2017/10/09 23:00:00,holiday,0,1
2017/10/09 3:00:00,holiday,0,1
2017/10/09 4:00:00,holiday,0,1
2017/10/09 5:00:00,holiday,0,1
2017/10/09 6:00:00,holiday,0,1
2017/10/09 7:00:00,holiday,0,1
2017/10/09 8:00:00,holiday,0,1
2017/10/09 9:00:00,holiday,0,1
2017/11/03 0:00:00,holiday,0,1
2017/11/03 1:00:00,holiday,0,1
2017/11/03 10:00:00,holiday,0,1
2017/11/03 11:00:00,holiday,0,1
2017/11/03 12:00:00,holiday,0,1
2017/11/03 13:00:00,holiday,0,1
2017/11/03 14:00:00,holiday,0,1
2017/11/03 15:00:00,holiday,0,1
2017/11/03 16:00:00,holiday,0,1
2017/11/03 17:00:00,holiday,0,1
2017/11/03 18:00:00,holiday,0,1
2017/11/03 19:00:00,holiday,0,1
2017/11/03 2:00:00,holiday,0,1
2017/11/03 20:00:00,holiday,0,1
2017/11/03 21:00:00,holiday,0,1
2017/11/03 22:00:00,holiday,0,1
2017/11/03 23:00:00,holiday,0,1
2017/11/03 3:00:00,holiday,0,1
2017/11/03 4:00:00,holiday,0,1
2017/11/03 5:00:00,holiday,0,1
2017/11/03 6:00:00,holiday,0,1
2017/11/03 7:00:00,holiday,0,1
2017/11/03 8:00:00,holiday,0,1
2017/11/03 9:00:00,holiday,0,1
2017/11/23 0:00:00,holiday,0,1
2017/11/23 1:00:00,holiday,0,1
2017/11/23 10:00:00,holiday,0,1
2017/11/23 11:00:00,holiday,0,1
2017/11/23 12:00:00,holiday,0,1
2017/11/23 13:00:00,holiday,0,1
2017/11/23 14:00:00,holiday,0,1
2017/11/23 15:00:00,holiday,0,1
2017/11/23 16:00:00,holiday,0,1
2017/11/23 17:00:00,holiday,0,1
2017/11/23 18:00:00,holiday,0,1
2017/11/23 19:00:00,holiday,0,1
2017/11/23 2:00:00,holiday,0,1
2017/11/23 20:00:00,holiday,0,1
2017/11/23 21:00:00,holiday,0,1
2017/11/23 22:00:00,holiday,0,1
2017/11/23 23:00:00,holiday,0,1
2017/11/23 3:00:00,holiday,0,1
2017/11/23 4:00:00,holiday,0,1
2017/11/23 5:00:00,holiday,0,1
2017/11/23 6:00:00,holiday,0,1
2017/11/23 7:00:00,holiday,0,1
2017/11/23 8:00:00,holiday,0,1
2017/11/23 9:00:00,holiday,0,1
2017/12/23 0:00:00,holiday,0,1
2017/12/23 1:00:00,holiday,0,1
2017/12/23 10:00:00,holiday,0,1
2017/12/23 11:00:00,holiday,0,1
2017/12/23 12:00:00,holiday,0,1
2017/12/23 13:00:00,holiday,0,1
2017/12/23 14:00:00,holiday,0,1
2017/12/23 15:00:00,holiday,0,1
2017/12/23 16:00:00,holiday,0,1
2017/12/23 17:00:00,holiday,0,1
2017/12/23 18:00:00,holiday,0,1
2017/12/23 19:00:00,holiday,0,1
2017/12/23 2:00:00,holiday,0,1
2017/12/23 20:00:00,holiday,0,1
2017/12/23 21:00:00,holiday,0,1
2017/12/23 22:00:00,holiday,0,1
2017/12/23 23:00:00,holiday,0,1
2017/12/23 3:00:00,holiday,0,1
2017/12/23 4:00:00,holiday,0,1
2017/12/23 5:00:00,holiday,0,1
2017/12/23 6:00:00,holiday,0,1
2017/12/23 7:00:00,holiday,0,1
2017/12/23 8:00:00,holiday,0,1
2017/12/23 9:00:00,holiday,0,1
2018/01/01 0:00:00,holiday,0,1
2018/01/01 1:00:00,holiday,0,1
2018/01/01 10:00:00,holiday,0,1
2018/01/01 11:00:00,holiday,0,1
2018/01/01 12:00:00,holiday,0,1
